ID,LAT,LON,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
sim8260,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,225,2006,841,1,eucalipto1
sim8261,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,198,2006,868,1,eucalipto1
sim8277,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,192,2006,844,1,eucalipto1
sim8278,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,180,2006,856,1,eucalipto1
sim8437,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,82,2006,736,1,eucalipto1
sim8579,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,278,2006,758,1,eucalipto1
sim8580,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,121,2006,691,1,eucalipto1
sim8581,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,244,2006,792,1,eucalipto1
sim8582,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,248,2006,788,1,eucalipto1
sim8587,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,138,2006,674,1,eucalipto1
sim9262,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,165,2006,871,1,eucalipto1
sim9264,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,169,2006,867,1,eucalipto1
sim9265,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,322,1999,2637,1,eucalipto1
sim9325,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,349,1999,3120,1,eucalipto1
sim9326,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,349,1999,3120,1,eucalipto1
sim9779,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,261,2000,2997,1,eucalipto1
sim9780,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,261,2000,2997,1,eucalipto1
