SID,BIOMA,ORDEM,TEXTURA,LAT,LON,SLDR,SLRO,SLB,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF
AMLATOMAG1,AMAZÔNIA,LATOSSOLO,Argilosa,-5.812683598,-58.69596852,0.1,61,106,0.276100221,0.334355357,0.38717053,0.653620506,3.5,1.054904136,0.575575219,63.43901992,14.07277253,11.20058562
AMLATOMAG1,AMAZÔNIA,LATOSSOLO,Argilosa,-5.812683598,-58.69596852,0.1,61,133,0.275569066,0.333647857,0.386317948,0,3.5,1.057128007,0.476291637,63.40325046,14.17858845,10.95006358
AMLATOAGA1,AMAZÔNIA,LATOSSOLO,Argilo-Arenosa,-6.389277528,-58.44027753,0.1,61,4,0.160294742,0.225195767,0.282494213,1,5,1.194420674,1.804494382,28.55280899,11.53707865,32.84269663
AMLATOAGA1,AMAZÔNIA,LATOSSOLO,Argilo-Arenosa,-6.389277528,-58.44027753,0.1,61,13,0.176404283,0.2376661,0.291591299,1,5,1.187711912,1.376232388,33.4874409,10.53348385,30.0596203
AMLATOAGA1,AMAZÔNIA,LATOSSOLO,Argilo-Arenosa,-6.389277528,-58.44027753,0.1,61,26,0.185181932,0.245205158,0.29833759,0.966325783,3.5,1.184694948,1.099827581,36.01476755,10.4079662,28.10512894
AMLATOAGA1,AMAZÔNIA,LATOSSOLO,Argilo-Arenosa,-6.389277528,-58.44027753,0.1,61,39,0.190469004,0.249837322,0.302420604,0.832075546,3.5,1.180592331,0.967223527,37.66886281,10.18381057,27.11996351
AMLATOAGA1,AMAZÔNIA,LATOSSOLO,Argilo-Arenosa,-6.389277528,-58.44027753,0.1,61,52,0.196478798,0.254955722,0.306843629,0.919112782,3.5,1.174647376,0.80983091,39.53027399,9.903754796,25.94523902
AMLATOAGA1,AMAZÔNIA,LATOSSOLO,Argilo-Arenosa,-6.389277528,-58.44027753,0.1,61,79,0.203269958,0.261011691,0.312416746,0.941483781,3.5,1.166431456,0.648408772,41.6585703,9.615159556,24.52868832
AMLATOAGA1,AMAZÔNIA,LATOSSOLO,Argilo-Arenosa,-6.389277528,-58.44027753,0.1,61,105,0.21248009,0.269439043,0.319755104,0.604281296,3.5,1.161721814,0.438852819,43.93929877,9.377619275,22.73946317
AMLATOAGA1,AMAZÔNIA,LATOSSOLO,Argilo-Arenosa,-6.389277528,-58.44027753,0.1,61,131,0.207254491,0.263170612,0.313427406,0,3.5,1.170646634,0.373487788,42.48731247,10.33366657,24.42074942
AMLATOFAA1,AMAZÔNIA,LATOSSOLO,Fraco Argilo-Arenosa,-6.977759574,-57.92981489,0.1,61,4,0.121390342,0.182747639,0.24338882,1,5,1.2434625,1.493069149,19.03723404,11.68776596,35.23031915
AMLATOFAA1,AMAZÔNIA,LATOSSOLO,Fraco Argilo-Arenosa,-6.977759574,-57.92981489,0.1,61,12,0.131858551,0.191859977,0.250572428,1,5,1.240535901,1.150434658,21.82547916,11.38088452,33.03802075
AMLATOFAA1,AMAZÔNIA,LATOSSOLO,Fraco Argilo-Arenosa,-6.977759574,-57.92981489,0.1,61,25,0.14131147,0.200740263,0.257461408,0.969140667,3.5,1.238165009,0.87480089,24.21148215,11.43078425,31.27979618
AMLATOFAA1,AMAZÔNIA,LATOSSOLO,Fraco Argilo-Arenosa,-6.977759574,-57.92981489,0.1,61,38,0.146010236,0.204971675,0.260899566,0.859807725,3.5,1.236020358,0.764101463,25.36052727,11.32271846,30.3496493
AMLATOFAA1,AMAZÔNIA,LATOSSOLO,Fraco Argilo-Arenosa,-6.977759574,-57.92981489,0.1,61,51,0.150997875,0.209322994,0.26421095,0.901592171,3.5,1.234309333,0.628548067,26.70110258,11.15111599,29.43537735
